Time	Speed
s*1e-6	m/s
15820498	0.025
15830474	0.055
15840498	0.19
15850503	0.2
15860502	0.21
15870469	0.21
15880513	0.205
15890504	0.2
15900453	0.19
15910493	0.175
15920512	0.08
15930491	0.015
15940480	0.015
15950465	0.015
15960491	0.015
15970466	0.015
15980476	0.01
15990491	0.01
16000485	0.01
16010497	0.01
16023383	0.01
16030461	0.01
16040477	0.015
16050472	0.015
16060466	0.015
16070464	0.015
16080450	0.02
16090533	0.02
16100482	0.02
16110472	0.02
16120485	0.025
16130485	0.025
16140494	0.025
16150476	0.025
16160456	0.025
16170441	0.02
16180471	0.02
16190479	0.02
16200449	0.02
16210454	0.02
16220458	0.02
16230451	0.015
16240494	0.015
16250484	0.015
16260456	0.015
16270451	0.015
16280519	0.01
16290481	0.01
16300518	0.01
16310462	0.01
16320462	0.015
16330475	0.015
16340481	0.015
16350449	0.015
16360444	0.02
16370468	0.02
16380472	0.02
16390489	0.02
16400469	0.02
16410473	0.02
16420554	0.02
16430448	0.02
16440476	0.02
16450447	0.02
16460458	0.02
16470445	0.02
16480517	0.02
16490485	0.02
16500447	0.02
16510441	0.02
16520453	0.02
16530456	0.015
16540475	0.015
16550463	0.015
16560443	0.015
16570449	0.01
16580586	0.015
16590483	0.015
16600444	0.015
16610448	0.015
16620487	0.015
16630475	0.015
16640473	0.015
16650458	0.015
16660478	0.015
16670446	0.02
16680462	0.02
16690481	0.02
16700436	0.02
16710475	0.02
16720471	0.02
16730435	0.02
16740451	0.02
16750442	0.02
16760434	0.02
16770447	0.02
16780605	0.015
16790461	0.02
16800433	0.015
16810425	0.015
16820487	0.015
16830444	0.015
16840464	0.015
16850445	0.015
16860468	0.015
16870455	0.015
16880479	0.015
16890500	0.015
16900442	0.015
16910463	0.015
16920485	0.015
16930449	0.015
16940450	0.015
16950430	0.015
16960431	0.02
16970417	0.02
16980485	0.02
16990482	0.02
17000430	0.02
17010411	0.02
17020474	0.02
17030427	0.02
17040458	0.02
17050429	0.02
17060435	0.02
17070406	0.02
17080496	0.02
17090456	0.02
17100450	0.015
17110419	0.015
17120427	0.015
17130398	0.015
17140455	0.015
17150410	0.015
17160411	0.015
17170402	0.015
17180492	0.015
17190443	0.015
17200414	0.015
17210407	0.015
17220429	0.02
17230395	0.015
17240445	0.02
17250427	0.02
17260422	0.02
17270405	0.02
17280411	0.02
17290445	0.02
17300403	0.02
17310410	0.02
17320419	0.02
17330423	0.02
17340462	0.02
17350446	0.02
17360493	0.015
17370442	0.02
17380433	0.02
17390423	0.015
17400426	0.015
17410395	0.015
17420462	0.015
17430410	0.015
17440447	0.015
17450401	0.015
17460428	0.015
17470384	0.015
17480432	0.015
